Index,Phase,DelH,DelS,Tm/K ,DelO,DelR,DelK,Erms,VEC,e/a
310,1,-4.0384,12.5736,1907.65,5.94,2.544,0.1191,0.04816,8.14,1.71
311,1,0.6529,13.0189,1679.88,33.5,3.8889,0.1139,0.045128,8.22,1.64
312,0,-4.64,13.3809,2945.75,8.49,3.514,0.3429,0.0333,5.4,1.6
313,1,-0.3272,12.8898,1685.47,66.4,2.3947,0.1549,0.051288,8.44,1.72
314,2,-15.2953,14.6919,1603.75,1.54,6.4529,0.1491,0.036949,7.09,1.91
315,0,2.72,13.3809,2508.35,12.34,4.098,0.1116,0.020838,4.4,1.8
316,2,-8.7537,17.6939,1788.31,3.61,4.9913,0.1483,0.037639,7.43,1.77
317,0,-13.3498,15.8474,1668.88,1.98,5.8613,0.134,0.022989,7.25,1.92
318,2,4.9375,12.9664,1653.26,4.34,1.9682,0.1455,0.03802,8.5,1.63
319,2,-13.888,14.2129,1713.16,1.75,5.4485,0.1252,0.037187,7.24,1.96
320,0,-2.62,10.8357,2440.65,10.09,2.9119,0.2495,0.027558,4.9,1.43
321,0,-1.2312,12.8074,2281.32,23.73,5.9965,0.1955,0.025387,4.6,1.7
322,0,-2.7025,13.3274,2378.13,11.73,5.6761,0.2826,0.026022,4.79,1.58
323,1,-4.0384,12.5736,1907.65,5.94,2.544,0.1191,0.04816,8.14,1.71
324,0,-2.7111,13.2563,2350.23,11.49,5.9557,0.2626,0.027602,4.82,1.64
325,0,-14.9484,14.2419,1683.57,1.6,5.6979,0.127,0.024447,7.07,2.0
326,1,-2.24,13.3809,1767.04,10.56,2.9232,0.1037,0.039488,8.6,1.8
327,2,-13.3304,15.8562,1668.7,1.98,5.8629,0.1341,0.03701,7.25,1.92
328,1,-7.6305,16.1783,1700.16,3.6,4.7617,0.125,0.044296,7.42,1.86
329,1,-0.96,9.9232,1720.69,17.79,1.9764,0.1383,0.060828,7.5,1.9
330,2,-10.575,15.7406,1735.61,2.58,5.3663,0.1307,0.037041,7.65,1.82
331,0,-23.3691,14.5301,1604.43,1.0,6.5993,0.1384,0.021318,6.14,2.14
332,1,-7.3742,12.5736,1861.71,3.17,3.3359,0.1117,0.04658,8.05,1.76
333,0,-2.7025,13.3274,2378.13,11.73,5.6761,0.2826,0.026022,4.79,1.58
334,0,-1.666,10.3297,2216.64,13.74,6.4508,0.1072,0.028964,4.67,1.83
335,0,-7.5753,12.324,1811.33,2.95,19.4675,0.3441,0.024833,3.87,1.43
336,1,-4.614,12.8916,1779.67,4.97,2.8647,0.1012,0.041231,8.47,1.82
337,0,-1.2061,11.7327,2124.87,20.67,6.148,0.1189,0.018889,4.26,1.95
338,0,-1.8125,8.9254,2206.03,10.86,6.1727,0.0978,0.03086,4.75,1.88
339,2,-3.8664,15.9251,1731.38,7.13,4.0049,0.1176,0.037217,7.95,1.75
341,1,-9.7716,13.231,1739.75,2.36,4.52,0.1143,0.044709,7.58,1.91
342,0,1.1532,12.8819,2326.87,25.99,5.7958,0.1313,0.022624,4.43,1.71
343,2,-9.6444,13.2165,1742.71,2.39,4.4754,0.114,0.037231,7.59,1.91
344,1,-4.8343,12.6674,1811.35,4.75,1.8648,0.1298,0.04703,8.33,1.78
345,0,-5.6911,12.5736,2488.49,5.5,3.4032,0.258,0.028576,4.9,1.81
346,0,-6.4922,11.5068,3158.34,5.6,2.6057,0.3651,0.032614,5.53,1.52
348,2,-13.0305,13.1503,1622.9,1.64,5.559,0.1201,0.036905,7.33,2.11
349,2,-9.2016,14.7455,1704.63,2.73,4.1623,0.1394,0.037692,7.5,1.92
350,1,-0.96,9.9232,1720.69,17.79,1.9764,0.1383,0.060828,7.5,1.9
351,0,-15.96,15.686,1623.89,1.6,5.1661,0.1426,0.026863,6.8,2.1
352,1,5.0159,11.6964,1660.37,3.87,1.9695,0.0312,0.028664,9.48,1.76
353,0,-4.64,13.3809,2945.75,8.49,3.514,0.3429,0.0333,5.4,1.6
354,0,-14.8209,14.8966,2243.81,2.26,4.3902,0.1167,0.019173,4.17,2.0
355,1,-8.271,13.0189,1773.04,2.79,3.9589,0.1103,0.045561,7.77,1.87
356,0,-12.13,13.9283,1697.51,1.95,5.3838,0.1308,0.025109,7.18,1.98
357,0,-12.48,13.3809,1623.37,1.74,5.1387,0.136,0.029675,6.8,2.0
358,0,-7.8435,14.6919,1644.78,3.08,5.092,0.1202,0.023923,7.54,1.91
359,2,1.82,13.2758,1746.86,12.74,2.0214,0.1405,0.038085,8.15,1.6
361,2,-8.7292,14.6889,1713.63,2.88,4.0161,0.1393,0.037704,7.55,1.91
363,0,-3.9842,14.7337,1595.67,5.9,4.318,0.1471,0.02861,7.61,1.81
364,0,-16.2058,14.1545,2369.07,2.07,5.65,0.2485,0.047117,4.58,1.79
365,1,-16.32,13.3809,1873.12,1.54,5.9157,0.1415,0.042944,7.4,1.8
366,0,1.4314,10.8372,2249.99,17.03,5.1518,0.115,0.021597,4.39,1.7
367,0,-8.452,13.1503,2344.88,3.65,3.5031,0.0454,0.027547,4.55,1.89
368,2,-10.4979,14.855,1678.49,2.38,4.536,0.1393,0.037657,7.35,1.96
369,1,4.96,13.3809,1982.44,5.35,4.3066,0.1612,0.049328,8.2,1.4
370,2,-13.3379,12.8074,1597.77,1.53,5.67,0.1194,0.036766,7.4,2.17
371,2,4.125,12.9664,1679.14,5.28,1.8631,0.126,0.037422,8.88,1.63
372,1,3.04,13.3809,1708.24,7.52,2.0195,0.1418,0.052193,8.4,1.6
373,0,-14.6021,14.8744,1743.45,1.78,5.1284,0.123,0.02674,6.89,2.0
374,1,-4.1103,14.2419,1834.31,6.36,2.8203,0.156,0.05271,7.92,1.77
375,0,-14.2843,13.8786,2367.35,2.3,3.5909,0.0984,0.023889,4.34,1.93
376,0,-1.1165,10.2464,2371.72,21.77,2.8977,0.1895,0.026564,4.73,1.5
377,0,-9.8109,12.8513,2150.98,2.82,5.8395,0.2032,0.029299,7.28,1.55
378,0,-0.3211,12.4861,2181.73,84.84,5.8405,0.1165,0.020614,4.33,1.86
379,0,-13.4076,13.3449,1637.93,1.63,5.6263,0.1229,0.024383,7.0,2.05
380,1,-3.4203,13.9343,1731.51,7.05,3.709,0.1018,0.045127,8.0,1.83
381,0,-4.9021,12.7211,2427.53,6.3,3.5997,0.0458,0.028298,4.64,1.83
382,1,-4.44,14.5334,1715.61,5.62,4.0544,0.1112,0.042796,8.0,1.8
383,0,-13.6,13.3809,2120.2,2.09,5.1798,0.2273,0.027783,4.8,1.6
384,1,-0.4993,12.2532,1703.95,41.82,3.3341,0.1073,0.041305,8.66,1.68
385,0,-19.36,13.3809,2041.2,1.41,4.7201,0.127,0.015665,4.0,2.0
387,2,-4.2044,13.3568,1596.9,5.07,5.1665,0.1242,0.037169,7.69,1.81
388,1,-4.1548,12.8276,1930.36,5.96,2.9629,0.1274,0.048383,8.09,1.7
389,2,-7.9062,14.6437,1539.68,2.85,5.6695,0.1273,0.036871,7.27,1.97
390,1,1.6186,14.8966,1718.95,15.82,1.9076,0.1359,0.047995,8.5,1.67
391,1,-4.84,11.7645,1833.39,4.46,1.5341,0.1183,0.045291,8.45,1.75
392,1,-0.4,12.9458,1312.14,42.47,5.3881,0.2254,0.020172,2.8,2.0
393,0,-16.96,13.3809,2089.0,1.65,6.0028,0.2976,0.023757,5.6,2.0
394,2,-4.0007,15.4567,1690.4,6.53,4.5291,0.119,0.036923,8.11,1.74
395,0,-4.8499,14.8703,2798.58,8.58,5.2715,0.3203,0.034434,5.48,1.49
396,0,-4.0925,10.7652,2183.45,5.74,5.7889,0.0486,0.027944,4.8,1.55
397,2,-8.2277,14.5264,1651.7,2.92,5.0228,0.1199,0.036857,7.74,1.92
398,0,-0.8712,13.3112,2567.36,39.23,4.3374,0.2549,0.024888,4.72,1.64
399,1,-3.5357,12.5736,1945.57,6.92,2.7004,0.1491,0.048137,8.14,1.76
401,1,-4.44,14.5334,1715.61,5.62,4.0544,0.1112,0.042796,8.0,1.8
402,2,-1.4085,14.7337,1582.92,16.56,4.3167,0.143,0.037542,7.93,1.73
403,1,5.0328,11.6964,1752.22,4.07,1.4409,0.1008,0.047126,8.73,1.51
404,0,-15.4669,15.5398,1682.23,1.69,5.9684,0.1341,0.023392,7.09,1.96
405,0,-11.3111,12.9449,1604.42,1.84,5.1492,0.1251,0.031127,6.46,2.04
406,2,-11.6727,13.3702,1691.66,1.94,5.133,0.1191,0.037194,7.31,1.98
407,0,-22.9299,12.8841,2008.86,1.13,3.5675,0.0935,0.020942,4.0,2.2
408,0,-6.1382,12.7211,3066.09,6.35,2.5339,0.3625,0.031645,5.41,1.53
409,1,-23.25,11.5257,1487.61,0.74,6.7688,0.1669,0.009164,7.0,2.0
410,1,-4.0757,13.3037,1786.54,5.83,1.9916,0.1332,0.04985,8.17,1.83
411,0,-1.76,13.3809,2586.35,19.66,4.4432,0.281,0.025452,4.8,1.6
412,0,-2.5265,12.2598,2312.0,11.22,6.0347,0.2323,0.029597,4.86,1.72
413,0,-12.7783,13.0189,2334.94,2.38,6.7653,0.227,0.029553,6.27,1.32
