Index,TE ,C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest 
117,14.2,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,15,765,90,300
118,27.6,0.1,8.85,1.99,0.05,0.45,0.2,0.08,0.0,0.0,0.0,0.0231,1050,60,780,60,25
119,17.3,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,200
120,19.6,0.11,9.4,1.35,0.05,0.46,0.22,0.071,0.0,0.006,0.0,0.0023,1050,30,750,90,600
121,16.5,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0.0,0.0157,1050,30,650,90,25
122,13.0,0.1,9.2,1.5,0.05,0.44,0.22,0.15,0.0,0.014,0.025,0.0,1050,30,650,90,500
123,15.63,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0.0,0.0,0.005,0.02,980,30,763,90,500
124,18.0,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,400
125,12.8,0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0.0,0.0032,1050,30,750,90,300
126,15.4,0.09,9.0,2.0,0.09,0.5,0.18,0.09,0.0,0.0,0.0,0.0,1030,30,750,60,25
127,18.0,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.01,0.0027,1050,30,750,90,550
128,22.0,0.097,8.99,2.01,0.049,0.5,0.2,0.1,0.0,0.0,0.002,0.015,1050,60,780,30,25
129,18.1,0.12,8.91,1.08,0.04,0.48,0.2,0.14,0.0,0.0,0.006,0.02,980,30,760,90,25
130,14.85,0.11,9.2,1.51,0.06,0.45,0.22,0.15,0.0,0.015,0.039,0.0,1050,30,650,90,300
131,15.6,0.1,8.92,2.02,0.01,0.01,0.26,0.069,0.0,0.0,0.04,0.0,1050,30,750,60,25
132,13.85,0.08,9.04,1.0,0.09,0.55,0.22,0.06,0.0,0.0,0.005,0.0226,980,30,763,90,300
133,14.8,0.09,9.0,1.98,0.0,0.49,0.2,0.083,0.0,0.0,0.0,0.015,1050,60,780,60,25
134,29.37,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.03,0.003,1050,30,750,90,25
135,18.0,0.12,8.95,2.01,0.23,0.51,0.24,0.0,0.0,0.0,0.01,0.0,1040,60,760,60,25
136,18.0,0.09,9.0,1.98,0.0,0.49,0.2,0.083,0.0,0.0,0.0,0.015,1050,60,780,60,600
137,20.0,0.09,9.0,1.98,0.0,0.49,0.2,0.083,0.0,0.0,0.0,0.015,1050,60,780,60,500
138,13.44,0.11,9.2,1.51,0.05,0.44,0.22,0.15,0.0,0.013,0.0,0.0,1050,30,650,90,300
139,16.7,0.11,9.4,1.35,0.05,0.45,0.21,0.073,0.0,0.036,0.0,0.0022,1050,30,750,90,300
140,17.6,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0.0,0.0031,1050,30,750,90,550
141,16.0,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,350
142,12.63,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0.0,0.014,0.008,0.0,1050,30,650,90,300
143,24.0,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.01,0.0027,1050,30,750,90,650
144,24.7,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.03,0.003,1050,30,750,90,600
145,18.24,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0.0,0.0,0.005,0.02,980,30,763,90,550
146,19.36,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.03,0.003,1050,30,750,90,300
147,11.6,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0.0,0.046,0.0,0.0153,1050,30,650,90,500
148,13.5,0.092,8.87,1.71,0.01,0.28,0.19,0.002,0.0,0.0,0.0,0.0,1050,30,750,90,500
